Appearances,Blocked shots,Assists,Passes per match,Big chances created,Crosses,Offsides,Hit woodwork,Shots,Shots on target,Shooting accuracy %,Big chances missed,Position_Defender,Position_Forward,Position_Goalkeeper,Position_Midfielder,Assists per Appearance,HighScorer
1,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
21,3.0,1,34.48,1.0,14.0,1.0,1.0,16.0,3.0,19.0,0.0,0,0,0,1,0.047619047619047616,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
3,0.0,0,2.67,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0,1,0,0,0.0,False
2,0.0,0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
35,11.0,7,56.69,10.0,47.0,0.0,0.0,41.0,9.0,22.0,3.0,0,0,0,1,0.2,False
23,1.0,0,29.26,0.0,34.0,0.0,1.0,,,,,1,0,0,0,0.0,False
13,2.0,1,5.69,1.0,6.0,0.0,0.0,5.0,2.0,40.0,0.0,0,0,0,1,0.07692307692307693,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
13,0.0,0,6.62,0.0,2.0,1.0,0.0,5.0,1.0,20.0,0.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
21,,0,28.71,0.0,,,0.0,,,,,0,0,1,0,0.0,False
12,2.0,0,38.08,0.0,0.0,1.0,0.0,,,,,1,0,0,0,0.0,False
13,3.0,0,10.92,0.0,6.0,7.0,0.0,10.0,2.0,20.0,2.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
2,1.0,0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,False
35,23.0,13,52.6,13.0,183.0,0.0,4.0,100.0,42.0,42.0,2.0,0,0,0,1,0.37142857142857144,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
37,,1,27.03,0.0,,,0.0,,,,,0,0,1,0,0.02702702702702703,False
37,12.0,7,76.46,13.0,105.0,4.0,0.0,45.0,19.0,42.0,1.0,0,0,0,1,0.1891891891891892,False
10,2.0,0,8.4,0.0,0.0,2.0,0.0,11.0,5.0,45.0,0.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,False
0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,1,0,0,0,0.0,False
6,,0,18.0,0.0,,,0.0,,,,,0,0,1,0,0.0,False
18,8.0,0,32.78,0.0,2.0,4.0,1.0,23.0,8.0,35.0,5.0,0,0,0,1,0.0,False
11,1.0,2,40.09,0.0,0.0,0.0,0.0,5.0,1.0,20.0,0.0,0,0,0,1,0.18181818181818182,False
32,2.0,1,53.03,0.0,2.0,2.0,1.0,,,,,1,0,0,0,0.03125,False
33,8.0,2,56.73,5.0,11.0,0.0,1.0,29.0,5.0,17.0,0.0,0,0,0,1,0.06060606060606061,False
24,4.0,0,38.13,0.0,1.0,1.0,1.0,15.0,5.0,33.0,4.0,0,0,0,1,0.0,False
